region;year;total;men;women;city_total;city_men;city_women;rural_total;rural_men;rural_women
Dolnoslaskie;2022;2888000;1388100;1499900;1950500;921100;1029400;937500;467000;470500
Kujawsko-pomorskie;2022;2006900;971000;1035800;1166300;549400;616900;840500;421600;418900
Lubelskie;2022;2024600;980200;1044500;935100;438200;496900;1089500;542000;547500
Lubuskie;2022;980000;475700;504300;629700;299900;329700;350300;175800;174500
Lodzkie;2022;2378500;1133300;1245200;1468800;681700;787100;909700;451600;458100
Malopolskie;2022;3429000;1663100;1765900;1640100;774300;865800;1789000;888800;900200
Mazowieckie;2022;5510600;2638200;2872400;3562900;1667400;1895500;1947700;970800;976900
Opolskie;2022;942400;455500;486900;498500;236200;262300;444000;219300;224600
Podkarpackie;2022;2079100;1017600;1061500;854200;407800;446400;1224900;609800;615000
Podlaskie;2022;1143400;556200;587200;695800;330100;365700;447600;226100;221500
Pomorskie;2022;2358300;1145600;1212700;1475700;701900;773800;882600;443700;438800
Slaskie;2022;4346700;2090900;2255800;3298800;1575700;1723000;1047900;515200;532800
Swietokrzyskie;2022;1178200;573300;604900;528200;249000;279200;650000;324300;325700
Warminsko-mazurskie;2022;1366400;667000;699400;806300;383000;423300;560100;284100;276000
Wielkopolskie;2022;3493600;1697300;1796300;1862000;882900;979100;1631600;814400;817200
Zachodniopomorskie;2022;1640600;796200;844400;1117000;532000;585000;523700;264200;259500
